"year","CO2_constrain"
1745,276.985997517904
1746,277.013999938965
1747,277.043998718262
1748,277.079999287923
1749,277.109001159668
1750,277.147003173828
1751,277.188000996908
1752,277.229001363118
1753,277.263000488281
1754,277.304003397624
1755,277.351003011068
1756,277.388999938965
1757,277.441998799642
1758,277.489000956217
1759,277.539998372396
1760,277.605003356934
1761,277.663998921712
1762,277.732002258301
1763,277.795997619629
1764,277.859003702799
1765,277.912999471029
1766,277.958000183105
1767,278.016998291016
1768,278.077995300293
1769,278.135004679362
1770,278.193997701009
1771,278.270001729329
1772,278.333999633789
1773,278.411994934082
1774,278.490999857585
1775,278.586003621419
1776,278.682998657227
1777,278.773996988932
1778,278.865999857585
1779,278.959002176921
1780,279.054003397624
1781,279.144999186198
1782,279.243001302083
1783,279.339998881022
1784,279.434000651042
1785,279.532002766927
1786,279.629000345866
1787,279.729001363118
1788,279.830998738607
1789,279.932998657227
1790,280.037002563477
1791,280.140998840332
1792,280.240997314453
1793,280.33199818929
1794,280.415000915527
1795,280.491996765137
1796,280.554995218913
1797,280.623001098633
1798,280.682004292806
1799,280.752998352051
1800,280.833997090658
1801,280.918998718262
1802,280.993995666504
1803,281.072995503743
1804,281.156997680664
1805,281.233996073405
1806,281.322001139323
1807,281.409001668294
1808,281.495999654134
1809,281.565996805827
1810,281.648002624512
1811,281.717997233073
1812,281.789998372396
1813,281.858001708984
1814,281.931004842122
1815,281.991996765137
1816,282.059000651042
1817,282.127001444499
1818,282.199999491374
1819,282.27200571696
1820,282.346000671387
1821,282.415003458659
1822,282.47699991862
1823,282.540000915527
1824,282.61799621582
1825,282.67599995931
1826,282.692998250326
1827,282.692995707194
1828,282.708002726237
1829,282.760996500651
1830,282.824999491374
1831,282.890996297201
1832,282.921997070312
1833,282.965998331706
1834,283.02799987793
1835,283.085998535156
1836,283.148999532064
1837,283.198000590007
1838,283.253003438314
1839,283.310999552409
1840,283.382001241048
1841,283.466997782389
1842,283.52799987793
1843,283.56600189209
1844,283.608998616536
1845,283.72499593099
1846,283.84700012207
1847,283.935999552409
1848,284.067998250326
1849,284.20699818929
1850,284.316998799642
1851,284.45100402832
1852,284.598002115885
1853,284.730997721354
1854,284.845998128255
