"bins","scores","probability","scenario"
"(0,1]",798,0.798,"SSP1-1.9"
"(1,1.5]",187,0.187,"SSP1-1.9"
"(1.5,2]",14,0.014,"SSP1-1.9"
"(2,2.5]",1,0.001,"SSP1-1.9"
"(0,1]",360,0.36,"SSP1-2.6"
"(1,1.5]",505,0.505,"SSP1-2.6"
"(1.5,2]",120,0.12,"SSP1-2.6"
"(2,2.5]",14,0.014,"SSP1-2.6"
"(2.5,3]",1,0.001,"SSP1-2.6"
"(0,1]",3,0.003,"SSP2-4.5"
"(1,1.5]",93,0.093,"SSP2-4.5"
"(1.5,2]",403,0.403,"SSP2-4.5"
"(2,2.5]",373,0.373,"SSP2-4.5"
"(2.5,3]",107,0.107,"SSP2-4.5"
"(3,3.5]",17,0.017,"SSP2-4.5"
"(3.5,4]",3,0.003,"SSP2-4.5"
"(4,4.5]",1,0.001,"SSP2-4.5"
"(1,1.5]",1,0.00100200400801603,"SSP3-7.0"
"(1.5,2]",27,0.0270541082164329,"SSP3-7.0"
"(2,2.5]",157,0.157314629258517,"SSP3-7.0"
"(2.5,3]",385,0.385771543086172,"SSP3-7.0"
"(3,3.5]",282,0.282565130260521,"SSP3-7.0"
"(3.5,4]",115,0.115230460921844,"SSP3-7.0"
"(4,4.5]",27,0.0270541082164329,"SSP3-7.0"
"(4.5,Inf]",4,0.00400801603206413,"SSP3-7.0"
"(1.5,2]",1,0.001,"SSP5-8.5"
"(2,2.5]",13,0.013,"SSP5-8.5"
"(2.5,3]",77,0.077,"SSP5-8.5"
"(3,3.5]",232,0.232,"SSP5-8.5"
"(3.5,4]",332,0.332,"SSP5-8.5"
"(4,4.5]",222,0.222,"SSP5-8.5"
"(4.5,Inf]",123,0.123,"SSP5-8.5"
