"bins","scores","probability","scenario"
"(0,1]",0.935664688109247,0.935664688109247,"SSP1-1.9"
"(1,1.5]",0.0643353118907529,0.0643353118907529,"SSP1-1.9"
"(0,1]",0.598059031340157,0.598059031340157,"SSP1-2.6"
"(1,1.5]",0.365305875225227,0.365305875225227,"SSP1-2.6"
"(1.5,2]",0.0366350934346167,0.0366350934346167,"SSP1-2.6"
"(0,1]",0.00135121568842906,0.00135121568842906,"SSP2-4.5"
"(1,1.5]",0.0719446412636342,0.0719446412636342,"SSP2-4.5"
"(1.5,2]",0.439343250990605,0.439343250990605,"SSP2-4.5"
"(2,2.5]",0.422907987402862,0.422907987402862,"SSP2-4.5"
"(2.5,3]",0.0644529046544702,0.0644529046544702,"SSP2-4.5"
"(1.5,2]",0.00508243520069111,0.00508243520069111,"SSP3-7.0"
"(2,2.5]",0.0839504546657622,0.0839504546657622,"SSP3-7.0"
"(2.5,3]",0.369571966037081,0.369571966037081,"SSP3-7.0"
"(3,3.5]",0.504309671202092,0.504309671202092,"SSP3-7.0"
"(3.5,4]",0.00196535496946634,0.00196535496946634,"SSP3-7.0"
"(4,4.5]",0.0351201179249073,0.0351201179249073,"SSP3-7.0"
"(2,2.5]",0.00451720835465118,0.00451720835465118,"SSP5-8.5"
"(2.5,3]",0.0271568091240654,0.0271568091240654,"SSP5-8.5"
"(3,3.5]",0.18967292687437,0.18967292687437,"SSP5-8.5"
"(3.5,4]",0.508993709673322,0.508993709673322,"SSP5-8.5"
"(4,4.5]",0.231568477516022,0.231568477516022,"SSP5-8.5"
"(4.5,Inf]",0.0380908684575696,0.0380908684575696,"SSP5-8.5"
