"bins","scores","probability","scenario"
"(0,1]",0.927649049936525,0.927649049936525,"SSP1-1.9"
"(1,1.5]",0.0723509500634753,0.0723509500634753,"SSP1-1.9"
"(0,1]",0.622153640978371,0.622153640978371,"SSP1-2.6"
"(1,1.5]",0.377846359021629,0.377846359021629,"SSP1-2.6"
"(0,1]",0.16921422354768,0.16921422354768,"SSP2-4.5"
"(1,1.5]",0.799127932277102,0.799127932277102,"SSP2-4.5"
"(1.5,2]",0.0316578441752172,0.0316578441752172,"SSP2-4.5"
"(0,1]",0.0530690247581444,0.0530690247581444,"SSP3-7.0"
"(1,1.5]",0.864837085226695,0.864837085226695,"SSP3-7.0"
"(1.5,2]",0.0820938900151606,0.0820938900151606,"SSP3-7.0"
"(0,1]",0.00318790873004133,0.00318790873004133,"SSP5-8.5"
"(1,1.5]",0.307498759304092,0.307498759304092,"SSP5-8.5"
"(1.5,2]",0.653005024988761,0.653005024988761,"SSP5-8.5"
"(2,2.5]",0.0363083069771061,0.0363083069771061,"SSP5-8.5"
