"","run_number","metric_result","scenario","mc_weight"
"SSP1-1.9.1",1,0.879299131291634,"SSP1-1.9",0.00822937575819968
"SSP1-1.9.2",2,0.738365409560909,"SSP1-1.9",0.00521558727551187
"SSP1-1.9.3",3,0.836762168771641,"SSP1-1.9",0.00560518412080848
"SSP1-1.9.4",4,0.670797774607005,"SSP1-1.9",0.00697617205450484
"SSP1-1.9.5",5,0.843530733892103,"SSP1-1.9",0.0399435106965918
"SSP1-1.9.6",6,0.798655659096445,"SSP1-1.9",0.0151710375569681
"SSP1-1.9.7",7,0.658194264434916,"SSP1-1.9",0.00939091227236804
"SSP1-1.9.8",8,0.711629701647288,"SSP1-1.9",0.00505095156758326
"SSP1-1.9.9",9,0.820852836825117,"SSP1-1.9",0.00505165470583491
"SSP1-1.9.10",10,0.986668592390157,"SSP1-1.9",0.00521243464388515
"SSP1-1.9.11",11,0.484826030650875,"SSP1-1.9",0.0445550220048456
"SSP1-1.9.12",12,0.744003099546268,"SSP1-1.9",0.00615419920617513
"SSP1-1.9.13",13,0.7934546589623,"SSP1-1.9",0.0207501832627313
"SSP1-1.9.14",14,0.515567017984805,"SSP1-1.9",0.00726816429499887
"SSP1-1.9.15",15,0.762583750029651,"SSP1-1.9",0.0153810288020717
"SSP1-1.9.16",16,0.789045258513,"SSP1-1.9",0.0245745695475697
"SSP1-1.9.17",17,0.780843776082313,"SSP1-1.9",0.00743561023950302
"SSP1-1.9.18",18,1.01733921750889,"SSP1-1.9",0.00505460226401078
"SSP1-1.9.19",19,0.933520609154027,"SSP1-1.9",0.00566902642494716
"SSP1-1.9.20",20,0.641806825643787,"SSP1-1.9",0.00523209890572882
"SSP1-1.9.21",21,0.721818279766378,"SSP1-1.9",0.00506180917850929
"SSP1-1.9.22",22,0.78770881630282,"SSP1-1.9",0.0301747687515778
"SSP1-1.9.23",23,0.559393021442482,"SSP1-1.9",0.00506482081067507
"SSP1-1.9.24",24,0.59869554885955,"SSP1-1.9",0.00593765201718237
"SSP1-1.9.25",25,0.591057469630582,"SSP1-1.9",0.0119774251804121
"SSP1-1.9.26",26,0.561428025245146,"SSP1-1.9",0.00546053589880129
"SSP1-1.9.27",27,0.994999134910755,"SSP1-1.9",0.00505050534880207
"SSP1-1.9.28",28,0.910812604655801,"SSP1-1.9",0.0057951603688702
"SSP1-1.9.29",29,0.855395095055914,"SSP1-1.9",0.00602465309809387
"SSP1-1.9.30",30,1.20084486212128,"SSP1-1.9",0.00763819945670848
"SSP1-1.9.31",31,0.757907208951628,"SSP1-1.9",0.00607391843976016
"SSP1-1.9.32",32,0.56203091751373,"SSP1-1.9",0.00636344909231956
"SSP1-1.9.33",33,0.768675581458567,"SSP1-1.9",0.042498183378475
"SSP1-1.9.34",34,0.929147679978093,"SSP1-1.9",0.00664740838552442
"SSP1-1.9.35",35,0.96482969872631,"SSP1-1.9",0.00758998984069955
"SSP1-1.9.36",36,0.879742477219835,"SSP1-1.9",0.0116634643989486
"SSP1-1.9.37",37,1.13727496015117,"SSP1-1.9",0.00505097808761226
"SSP1-1.9.38",38,0.767023508003567,"SSP1-1.9",0.00767767712191978
"SSP1-1.9.39",39,0.850661839870301,"SSP1-1.9",0.00520965053001934
"SSP1-1.9.40",40,0.576384708751474,"SSP1-1.9",0.00510442353415809
"SSP1-1.9.41",41,0.849450465401306,"SSP1-1.9",0.00508612235296362
"SSP1-1.9.42",42,1.02091171266338,"SSP1-1.9",0.00505990704360059
"SSP1-1.9.43",43,1.14583813327919,"SSP1-1.9",0.0274072519932307
"SSP1-1.9.44",44,0.582111795853352,"SSP1-1.9",0.00626598954547655
"SSP1-1.9.45",45,0.843887501578262,"SSP1-1.9",0.0054393259398679
"SSP1-1.9.46",46,0.883813906537533,"SSP1-1.9",0.00521682363839153
"SSP1-1.9.47",47,0.731520138157414,"SSP1-1.9",0.0158003201342797
"SSP1-1.9.48",48,0.832265938793541,"SSP1-1.9",0.00506729536375351
"SSP1-1.9.49",49,0.795548851948959,"SSP1-1.9",0.00657717361831691
"SSP1-1.9.50",50,0.886072801286493,"SSP1-1.9",0.00525172956472124
"SSP1-1.9.51",51,0.984655541450083,"SSP1-1.9",0.00505078669098905
"SSP1-1.9.52",52,0.656412691004713,"SSP1-1.9",0.0451044220133898
"SSP1-1.9.53",53,0.845420207594454,"SSP1-1.9",0.00506363229729971
"SSP1-1.9.54",54,1.09040253807243,"SSP1-1.9",0.00505160117660517
"SSP1-1.9.55",55,0.586737583291193,"SSP1-1.9",0.0206648131605413
"SSP1-1.9.56",56,0.903870534850131,"SSP1-1.9",0.0050505139696584
"SSP1-1.9.57",57,0.973598146741588,"SSP1-1.9",0.00528582377148977
"SSP1-1.9.58",58,0.760976715110469,"SSP1-1.9",0.00840313504518945
"SSP1-1.9.59",59,0.981400166064041,"SSP1-1.9",0.0051621013876698
"SSP1-1.9.60",60,0.780080866803683,"SSP1-1.9",0.0321953097789581
"SSP1-1.9.61",61,1.04971450173204,"SSP1-1.9",0.00505127562226958
"SSP1-1.9.62",63,0.603301148812297,"SSP1-1.9",0.00508441633683663
"SSP1-1.9.63",64,0.636355096603421,"SSP1-1.9",0.00525046285568119
"SSP1-1.9.64",65,0.83773736271173,"SSP1-1.9",0.00505217356720247
"SSP1-1.9.65",66,0.766617499304098,"SSP1-1.9",0.0339721394350717
"SSP1-1.9.66",67,0.895741383185736,"SSP1-1.9",0.00606549341792902
"SSP1-1.9.67",68,1.13762926593985,"SSP1-1.9",0.00516133212691236
"SSP1-1.9.68",69,0.786919252061464,"SSP1-1.9",0.00507336929963204
"SSP1-1.9.69",70,1.05300523163912,"SSP1-1.9",0.00516542832150767
"SSP1-1.9.70",71,0.552738054722743,"SSP1-1.9",0.00721943325393534
"SSP1-1.9.71",72,1.07741691633454,"SSP1-1.9",0.00509204529375423
"SSP1-1.9.72",73,1.00752743780985,"SSP1-1.9",0.0050535996815969
"SSP1-1.9.73",74,0.912310794790256,"SSP1-1.9",0.00529257502085181
"SSP1-1.9.74",75,0.937627722777239,"SSP1-1.9",0.00783818145380515
"SSP1-1.9.75",76,0.838575207901039,"SSP1-1.9",0.0117688973022152
"SSP1-1.9.76",77,1.07876525683916,"SSP1-1.9",0.00546754011591691
"SSP1-1.9.77",78,0.711490377267423,"SSP1-1.9",0.00634165483004965
"SSP1-1.9.78",79,0.873324102261744,"SSP1-1.9",0.00517934010915
