"","run_number","metric_result","scenario","mc_weight"
"SSP1-1.9.1",1,0.666080582831423,"SSP1-1.9",0.00822937575819968
"SSP1-1.9.2",2,0.582649571431955,"SSP1-1.9",0.00521558727551187
"SSP1-1.9.3",3,0.638213406952358,"SSP1-1.9",0.00560518412080848
"SSP1-1.9.4",4,0.542628444041521,"SSP1-1.9",0.00697617205450484
"SSP1-1.9.5",5,0.645881758474732,"SSP1-1.9",0.0399435106965918
"SSP1-1.9.6",6,0.622538621666174,"SSP1-1.9",0.0151710375569681
"SSP1-1.9.7",7,0.532405090369381,"SSP1-1.9",0.00939091227236804
"SSP1-1.9.8",8,0.565034777806236,"SSP1-1.9",0.00505095156758326
"SSP1-1.9.9",9,0.630595838698313,"SSP1-1.9",0.00505165470583491
"SSP1-1.9.10",10,0.73247897540426,"SSP1-1.9",0.00521243464388515
"SSP1-1.9.11",11,0.422609496729452,"SSP1-1.9",0.0445550220048456
"SSP1-1.9.12",12,0.584708074610484,"SSP1-1.9",0.00615419920617513
"SSP1-1.9.13",13,0.619165786161074,"SSP1-1.9",0.0207501832627313
"SSP1-1.9.14",14,0.438312037519771,"SSP1-1.9",0.00726816429499887
"SSP1-1.9.15",15,0.596813092773355,"SSP1-1.9",0.0153810288020717
"SSP1-1.9.16",16,0.618643199814683,"SSP1-1.9",0.0245745695475697
"SSP1-1.9.17",17,0.610336137376615,"SSP1-1.9",0.00743561023950302
"SSP1-1.9.18",18,0.748238905706361,"SSP1-1.9",0.00505460226401078
"SSP1-1.9.19",19,0.695399381226559,"SSP1-1.9",0.00566902642494716
"SSP1-1.9.20",20,0.518198250577505,"SSP1-1.9",0.00523209890572882
"SSP1-1.9.21",21,0.570738859365593,"SSP1-1.9",0.00506180917850929
"SSP1-1.9.22",22,0.612316028380214,"SSP1-1.9",0.0301747687515778
"SSP1-1.9.23",23,0.465499872708884,"SSP1-1.9",0.00506482081067507
"SSP1-1.9.24",24,0.496265156664004,"SSP1-1.9",0.00593765201718237
"SSP1-1.9.25",25,0.491967457088172,"SSP1-1.9",0.0119774251804121
"SSP1-1.9.26",26,0.467266311963497,"SSP1-1.9",0.00546053589880129
"SSP1-1.9.27",27,0.736741567808773,"SSP1-1.9",0.00505050534880207
"SSP1-1.9.28",28,0.687880187999737,"SSP1-1.9",0.0057951603688702
