"","run_number","metric_result","scenario","mc_weight"
"SSP1-1.9.1",1,0.695908730152894,"SSP1-1.9",0.0112216714173017
"SSP1-1.9.2",2,0.401547257366822,"SSP1-1.9",9.84820171743419e-05
"SSP1-1.9.3",3,0.587204206648316,"SSP1-1.9",0.00527086792618384
"SSP1-1.9.4",4,0.339082103248616,"SSP1-1.9",0.0126878795054163
"SSP1-1.9.5",5,0.418655962347039,"SSP1-1.9",0.010121903449177
"SSP1-1.9.6",6,0.572947013708494,"SSP1-1.9",0.0277867802271611
"SSP1-1.9.7",7,0.284940071742714,"SSP1-1.9",0.0126049940823175
"SSP1-1.9.8",8,0.586830731423721,"SSP1-1.9",0.00736683790029867
"SSP1-1.9.9",9,0.494516757659781,"SSP1-1.9",0.00614733431961159
"SSP1-1.9.10",10,0.970922011606858,"SSP1-1.9",0.00230357785769747
"SSP1-1.9.11",11,0.497176353043608,"SSP1-1.9",0.0315221474420066
"SSP1-1.9.12",12,0.784953279608007,"SSP1-1.9",0.00885068083524177
"SSP1-1.9.13",13,0.480082260721903,"SSP1-1.9",0.0192423960577414
"SSP1-1.9.14",14,0.0913022508375593,"SSP1-1.9",0.00223828018737274
"SSP1-1.9.15",15,0.357121912494257,"SSP1-1.9",0.00944226501824116
"SSP1-1.9.16",16,0.492863814038298,"SSP1-1.9",0.0298825879109453
"SSP1-1.9.17",17,0.534591537497379,"SSP1-1.9",0.0115101508100219
"SSP1-1.9.18",18,0.83334817996294,"SSP1-1.9",0.0108303741192705
"SSP1-1.9.19",19,0.89517250903946,"SSP1-1.9",0.00633715225482555
"SSP1-1.9.20",20,0.337393622152821,"SSP1-1.9",0.00713260886590423
"SSP1-1.9.21",21,0.44133434421948,"SSP1-1.9",0.000728869415932742
"SSP1-1.9.22",22,0.561511697528279,"SSP1-1.9",0.0294753291552261
"SSP1-1.9.23",23,0.2257209024164,"SSP1-1.9",0.00387171993711076
"SSP1-1.9.24",24,0.41901492675183,"SSP1-1.9",0.0100327326577212
"SSP1-1.9.25",25,0.197423064186612,"SSP1-1.9",0.0180791096194974
"SSP1-1.9.26",26,0.242705229704986,"SSP1-1.9",0.0104550377295647
"SSP1-1.9.27",27,0.810777701951344,"SSP1-1.9",0.0108674297929966
"SSP1-1.9.28",28,0.696253697579104,"SSP1-1.9",7.00832365872072e-06
"SSP1-1.9.29",29,0.589435364558788,"SSP1-1.9",0.00775568409494505
"SSP1-1.9.30",30,1.16395728273286,"SSP1-1.9",0.0090336508424318
"SSP1-1.9.31",31,0.584885031266321,"SSP1-1.9",0.00840788048976398
"SSP1-1.9.32",32,0.121198199583367,"SSP1-1.9",0.00106414131973185
"SSP1-1.9.33",33,0.452514038784278,"SSP1-1.9",0.0371516461307713
"SSP1-1.9.34",34,0.964302136960507,"SSP1-1.9",0.00881217468093455
"SSP1-1.9.35",35,0.646449777666777,"SSP1-1.9",0.0141073254564031
"SSP1-1.9.36",36,0.672245784072707,"SSP1-1.9",0.0151425973794211
"SSP1-1.9.37",37,1.1948032640719,"SSP1-1.9",0.00567935690567728
"SSP1-1.9.38",38,0.644276600733565,"SSP1-1.9",0.0116755465182813
"SSP1-1.9.39",39,0.445104219969544,"SSP1-1.9",0.00171144172206516
"SSP1-1.9.40",40,0.230077584579863,"SSP1-1.9",0.00922555239120713
"SSP1-1.9.41",41,0.615963191801361,"SSP1-1.9",0.00830601693363353
"SSP1-1.9.42",42,1.39719343442569,"SSP1-1.9",0.00599939371400517
"SSP1-1.9.43",43,1.07619313453159,"SSP1-1.9",0.0155153558940678
"SSP1-1.9.44",44,0.363886770632799,"SSP1-1.9",0.0111032384858875
"SSP1-1.9.45",45,0.73761160887869,"SSP1-1.9",0.00937134181925478
"SSP1-1.9.46",46,0.968861263560523,"SSP1-1.9",0.00419983659988238
"SSP1-1.9.47",47,0.555137379724367,"SSP1-1.9",0.0202428650497083
"SSP1-1.9.48",48,0.695092095468166,"SSP1-1.9",0.00946270867769802
"SSP1-1.9.49",49,0.380937046321241,"SSP1-1.9",0.00386074125744753
"SSP1-1.9.50",50,0.835550594083184,"SSP1-1.9",0.00167301711610424
"SSP1-1.9.51",51,0.783080757004247,"SSP1-1.9",0.000133041066240618
"SSP1-1.9.52",52,0.672774547352362,"SSP1-1.9",0.0341690591025324
"SSP1-1.9.53",53,0.600904007593803,"SSP1-1.9",0.00208625510085663
"SSP1-1.9.54",54,1.36827889893411,"SSP1-1.9",0.00430161265268847
"SSP1-1.9.55",55,0.26154712527363,"SSP1-1.9",0.0259196396365973
"SSP1-1.9.56",56,0.584342812460313,"SSP1-1.9",0.000560623454948295
"SSP1-1.9.57",57,0.91182880420973,"SSP1-1.9",0.00688903216574564
"SSP1-1.9.58",58,0.610515851259984,"SSP1-1.9",0.0132980662742974
"SSP1-1.9.59",59,0.571616160223734,"SSP1-1.9",0.00560570294552354
"SSP1-1.9.60",60,0.287211869285407,"SSP1-1.9",0.0101379823137976
"SSP1-1.9.61",61,0.678018393424959,"SSP1-1.9",2.2360882373419e-05
"SSP1-1.9.62",63,0.316798722310573,"SSP1-1.9",0.00109321470081753
"SSP1-1.9.63",64,0.386928746552991,"SSP1-1.9",0.00293419910913047
